City_ID,City,Country,Max temp,Current Description,Lat,Lng,Hotel Name
11,nhamunda,BR,75.42,few clouds,-2.1861,-56.7131,Pousada Da Praia
13,vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
19,flinders,AU,82.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
20,arraial do cabo,BR,75.54,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
30,atuona,PF,80.13,light rain,-9.8,-139.0333,Villa Enata
32,codo,BR,76.35,broken clouds,-4.4553,-43.8856,Hotel Porto do Sol
39,cabo san lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
40,saint-philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,tiarei,PF,86.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
62,hithadhoo,MV,83.08,scattered clouds,-0.6,73.0833,Scoop Guest House
65,faanui,PF,82.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,rikitea,PF,77.99,clear sky,-23.1203,-134.9692,People ThankYou
69,manggar,ID,85.24,overcast clouds,-2.8833,108.2667,Guest Hotel
75,fomboni,KM,82.45,light rain,-12.28,43.7425,Pension Paradis
77,mahebourg,MU,80.01,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,jhanjharpur,IN,76.53,scattered clouds,26.2667,86.2833,Krishna Sweets
86,nortelandia,BR,75.24,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
89,kulhudhuffushi,MV,82.76,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
90,bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
91,alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
92,padang,ID,78.8,moderate rain,-0.9492,100.3543,Mercure Padang
93,kota belud,MY,84.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
102,kombissiri,BF,82.4,clear sky,12.0656,-1.3375,Mitibkieta Annexe
107,grand gaube,MU,80.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
109,mahajanga,MG,78.8,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
112,road town,VG,78.8,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
114,kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
115,carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
117,biak,ID,85.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
126,las cruces,US,80.01,few clouds,32.3123,-106.7783,Days End Lodge
127,vila velha,BR,77.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
129,souillac,MU,80.01,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
133,avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
135,lorengau,PG,81.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
136,benguela,AO,79.25,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
140,kavieng,PG,83.05,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
